"CMD","PID","HEIGHT"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
"252 - Idle","18","588"
"96 - Motor Idle","8","579"
"96 - Motor Idle","9","588"
